Job Title,Company Name,Location,Skills,Years of Experience,Education,Job Type,Salary
Data Scientist,New York University,Hybrid work in New York; NY 10012,"Machine Learning, Pandas, R, Statistical Software, Tableau, Research, Quantitative analysis, Data Analysis, JSON, Scripting, Azure, Statistical Analysis, Machine Learning Algorithms, Python, Analytics, Statistics, Data Visualization, NumPy, Computer Science, Scikit-learn, AWS",5,Master,Full-time,135;000 - 155;000 a year
Senior Associate; Data Scientist,BNY Mellon,Pittsburgh; PA 15219  (Central Business District area),"Python, REST, Java, Financial Services, AI, Banking",240,Bachelor,Not specified,Not specified
Data Scientist,Oncorre,Bridgewater; NJ 08807,"XML, Unix, Java, AWS, MySQL, Linux",4,Not Specified,Full-time,163;238 a year
Senior Data Analyst,Gravie,Hybrid work in Minneapolis; MN 55402,"R, Analytics, Tableau, Statistics, Redshift, AWS, Data Analytics, SQL, Python, Excel",3,Not Specified,Full-time,Not specified
Senior Data Scientist,Dotdash Meredith,Remote,"Computer Science, Machine Learning, Statistics, AWS, Python, Julia",3,Doctorate; Master,Full-time,112;000 - 160;000 a year
Data Scientist,Johnsonville,Sheboygan Falls; WI,"Data Visualization, Machine learning frameworks, Data Analysis, Computer Science, Leadership, Machine Learning, R, Analytics, Statistics, Research, SQL, Python",5,Bachelor,Full-time,Not specified
Data Scientist 1/2 or Sr,MidAmerican Energy,Des Moines; IA,"Power BI, R, SAS, Spark, Agile, Azure, Software development, SPSS, SQL, Python, Hadoop, Project Management, MATLAB, Analytics, Data lake, NoSQL, Data Analytics, Leadership, Pig, Computer Science, Kafka",Not specified,Master; Bachelor,Full-time,Not specified
Senior Data Scientist,Headway.co,Remote,"Data Analysis, Spark, Computer Science, Machine Learning, Java, Analytics, Research, Data Analytics, Python, Data Engineering",3,Doctorate; Master,Not specified,Not specified
Sr. Data Scientist,CVS Health,Remote in New York; NY,"Data Mining, TensorFlow, Natural Language Processing, Computer Science, Machine Learning, Pandas, R, Statistical Software, Analytics, Scikit-learn, Keras, Tableau, Statistics, NumPy, SQL, MySQL, Python",Not specified,Master,Full-time,108;306 - 196;000 a year
Data Scientist,FIBERTEK; INC.,Fort Belvoir; VA 22060,,10,Bachelor,Full-time,Not specified
Senior Data Scientist,Providence,Remote in Renton; WA 98057,"Power BI, Data Visualization, Forecasting, Data Analysis, Computer Science, Machine Learning, R, Snowflake, Azure, Analytics, Big Data, Tableau, Scala, SAS, Statistics, Machine Learning Algorithms, SQL, Python",6,Master,Full-time,Not specified
Data Scientist,Araceli Biosciences,Hybrid work in Tigard; OR,"Machine Learning, Pandas, R, PyTorch, Keras, Research, Marketing, Data Analysis, Software development, AI, Python, Feature Extraction, Analytics, Statistics, Data Visualization, NumPy, TensorFlow, Computer Science, Computer Vision",5,Bachelor,Not specified,Not specified
Data Scientist,MIT Lincoln Laboratory,Lexington; MA,"AI, Research, Analytics",5,Doctorate; Master,Not specified,Not specified
Senior Data Analyst,ReadyRefresh,Northbrook; IL 60065,"Data Visualization, Quantitative analysis, Data Analysis, Computer Science, Azure, Analytics, Tableau, Data Warehouse, AWS, SQL, MySQL, Python, Excel",3,Bachelor,Not specified,Not specified
Data Scientist,Xavier University of Louisiana,New Orleans; LA 70125  (Gert Town area),"Computer Science, Machine Learning, Statistics, Research, Leadership",Not specified,Doctorate,Not specified,Not specified
Sr. Data Scientist; CMC Data Science,Moderna,Norwood; MA,"Power BI, Computer Science, Leadership, Machine Learning, R, Statistical Software, Analytics, Statistical Analysis, Tableau, Statistics, Research, SQL, Python",5,Doctorate,Not specified,Not specified
Data Scientist,DCS Corp,Fort Belvoir; VA,"Data Analysis, Analytics",15,Bachelor,Full-time,Not specified
Data Scientist,CALIBRE Systems; Inc.,Alexandria; VA,"Data Analysis, Leadership, Machine Learning, R, Analytics, Tableau, Statistics, Analysis Skills, Research, Data Analytics, Data Visualization, Quantitative analysis, Python",3,Not Specified,Full-time,Not specified
Data Scientist,Featurespace,Atlanta; GA,"Data Analysis, Computer Science, Machine Learning, Data Structures, R, Java, Analytics, Machine Learning Algorithms, Python",Not specified,Not Specified,Not specified,Not specified
Data Scientist II,Honeywell,Hybrid work in Kansas City; MO 64147,"Software development, Leadership, Machine Learning, Analytics",Not specified,Master,Not specified,Not specified
NGSE Data Scientist,Zoetis,Parsippany; NJ 07054,"Data Mining, Data Visualization, Computer Science, Machine Learning, Data Structures, R, Scripting, Azure, Analytics, Sales, Big Data, Tableau, Statistics, Research, Marketing, SQL, Python",2,Master,Full-time,Not specified
Sr. Data Scientist; Analytics,Quizlet,New York; NY,"Machine Learning, Analytics, Research, Go, SQL, A/B Testing, Data Engineering",4,Master,Full-time,132;000 - 172;500 a year
Senior Data Scientist; Customer Analytics,Atlassian,Remote in San Francisco; CA 94104,"R, Analytics, Statistics, Go, SQL, Python",Not specified,Doctorate; Master,Full-time,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Sr. Data Scientist,CVS Health,Remote in Woonsocket; RI,"Spark, Machine Learning, Hadoop, R, Azure, Analytics, Statistical Analysis, Big Data, Research, SAS, Data Warehouse, AWS, SQL, Python",Not specified,Master,Full-time,81;000 - 162;000 a year
Sr Data Scientist (Optimizations),Syneos - Clinical and Corporate - Prod,Remote,"Machine learning frameworks, Computer Science, Machine Learning, Azure, Analytics, Scikit-learn, Research, SciPy, Python",5,Doctorate; Master; Bachelor,Full-time,$102;600 - $178;600 \$(\d+;\d+)
Data Scientist - HR,Portland General Electric,Portland; OR,"Power BI, Data Visualization, Data Analysis, Computer Science, Presentation Skills, Machine Learning, Leadership, R, Azure, Analytics, Statistical Analysis, Tableau, Statistics, Machine Learning Algorithms, AWS, SQL, Python",3,Not Specified,Full-time,100;200 - 167;000 a year
Data Scientist,onsemi,Scottsdale; AZ,"Git, Machine Learning, Pandas, Snowflake, Tableau, Marketing, Azure, Software development, Machine Learning Algorithms, SQL, Deep Learning, AI, Python, Forecasting, Analytics, Statistics, Data Visualization, Computer Science, Computer Vision, Sales",2,Not Specified,Full-time,Not specified
Applied Scientist II,Qualtrics,Seattle; WA 98101  (Downtown area),"TensorFlow, Natural Language Processing, Computer Science, REST, Machine Learning, Computer Vision, R, Agile, PyTorch, Research, Deep Learning, Leadership, AI, Reinforcement Learning, Python",2,Bachelor,Part-time,Not specified
Data Scientist,CACI,Springfield; VA 22150,"Natural Language Processing, Computer Science, Perl, Scripting, MATLAB, Java, Research, Leadership, Unix, Python, Linux",60,Bachelor,Full-time,Not specified
Data Scientist,KeyLogic Systems,Washington; DC,"TensorFlow, Spark, Computer Science, Machine Learning, Analytics, PyTorch, Deep Learning, Data Analytics, Leadership, AI",4,Doctorate; Master; Bachelor,Not specified,Not specified
Data Scientist,Polaris Inc.,Remote in Plymouth; MN 55442,"Forecasting, Data Analysis, Natural Language Processing, Computer Science, Pandas, APIs, R, Agile, Azure, Analytics, Snowflake, Statistics, Matplotlib, SQL, Deep Learning, Python",2,Bachelor,Full-time,Not specified
Data Scientist,Oklahoma State University,Stillwater; OK 74075,"Data Mining, Power BI, Machine Learning, Pandas, R, Tableau, Research, Seaborn, Data Analysis, Azure, Statistical Analysis, SQL, Python, Julia, Hypothesis testing, Project Management, Cloud Computing, Analytics, Statistics, Matplotlib, Data Analytics, Data Visualization, Google Cloud, Computer Science, AWS",5,Not Specified,Full-time,80;000 - 110;000 a year
Senior Data Scientist,sweetgreen,Los Angeles; CA  (Mid City West area),"Git, Computer Science, Leadership, Machine Learning, Pandas, Snowflake, Analytics, Scikit-learn, Statistical Analysis, PyTorch, Statistics, Research, SQL, Deep Learning, Reinforcement Learning, Python",7,Bachelor,Full-time,140;000 - 170;000 a year
Senior Data Analyst,University of Texas at Tyler Health Science Center,Tyler; TX,"SQL, Data Analysis, Computer Science, Research",Not specified,Master; Bachelor,Full-time,Not specified
Data Scientist; Machine Learning,Samsung Electronics,Mountain View; CA 94043,"Data Mining, TensorFlow, Spark, Leadership, Machine Learning, Analytics, PyTorch, Big Data, Software development, Statistics, Go, Data Analytics, SQL, Python",4,Doctorate; Master,Not specified,Not specified
Senior Data Analyst,Merchants Bank of Indiana,Carmel; IN 46032,"Power BI, Computer Science, Agile, Java, Analytics, SQL, Banking, Python, Excel",Not specified,Bachelor,Full-time,Not specified
Population Health Business Data Scientist,UT Health Science Center at San Antonio,San Antonio; TX 78229,"Data Analytics, Data Mining, Leadership, Analytics",Not specified,Not Specified,Full-time,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Senior Data Analyst,NimbleRx,Redwood City; CA,"Data Analysis, Data Structures, R, Analytics, Statistics, Data Analytics, SQL, Python, Excel",3,Bachelor,Full-time,130;000 - 160;000 a year
Data Scientist,University of Wisconsin–Madison,Madison; WI 53706,"Computer Science, R, Statistics, Research, Python, Linux",Not specified,Master; Bachelor,Full-time,50;000 a year
Senior Data Analyst,Highway Transport,Knoxville; TN 37932,"Data Mining, Power BI, Data Visualization, Computer Science, Analytics, Sales, Tableau, Statistics, Data Warehouse, Data Analytics, SQL, AI",6,Master; Bachelor,Full-time,Not specified
Data Scientist; Health Economics,VNS Health,Manhattan; NY,"Data Mining, Data Analysis, Computer Science, Data Structures, R, MATLAB, Big Data, Statistics, Github, SQL, Python",2,Not Specified,Full-time,93;400 - 116;800 a year
FinTech Data Scientist,Vanguard,Malvern; PA,"Big Data, Machine Learning, Analytics",Not specified,Bachelor,Not specified,Not specified
Senior Underwriting Data Analyst,Church Mutual Insurance; S.I.,Hybrid work in Merrill; WI 54452,"Tableau, Research, SAS, Leadership, Excel",Not specified,Bachelor,Full-time,103;500 a year
Applied Machine Learning Scientist,Grainger,Hybrid work in Chicago; IL 60654,"Docker, Kubernetes, Computer Science, APIs, REST, Scripting, Sales, Statistics, SQL, Python",100,Master; Bachelor,Not specified,Not specified
Evaluation & Data Scientist,University of Oklahoma,Norman; OK,"Leadership, Project Leadership, Project Management, Statistical Analysis, Statistics, Analysis Skills, Research, Data Visualization, Quantitative analysis, Risk Management",5,Doctorate; Bachelor,Full-time,60;000 - 70;000 a year
Data Scientist II,Black Eagle Defense,Annapolis Junction; MD,"Data Mining, Computer Science, Hypothesis testing, Machine Learning, Data Structures, Statistical Analysis, Statistics, Research, Python",5,Bachelor,Full-time,Not specified
Data Scientist I,Murphy USA,El Dorado; AR 71730,"Data Mining, Data Analysis, Computer Science, Machine Learning, Scripting, Agile, Analytics, Statistics, AI",3,Master; Bachelor,Not specified,Not specified
Data Scientist,CACI,Norco; CA 92860,"Data Mining, Data Visualization, Agile, Statistical Analysis",60,Not Specified,Full-time,Not specified
Senior Data Analyst,Grainger,Lake Forest; IL 60045,"Power BI, Data Visualization, Data Analysis, Leadership, Project Management, Snowflake, Analytics, Sales, Data Analytics, SQL, Python, Excel",100,Bachelor,Not specified,Not specified
Data Scientist,CACI,Frederick; MD 21701,,60,Not Specified,Full-time,Not specified
DATA SCIENTIST,US Air Force Materiel Command,Wright-Patterson AFB; OH,"Research, Statistics, Computer Science, Go",6,Not Specified,Part-time,65;370 - 91;765 a year
Data Scientist,CVS Health,New York; NY,"Git, Data Mining, Machine Learning, Statistical Software, PyTorch, Big Data, Tableau, Research, Jira, Spark, Azure, Statistical Analysis, Python, APIs, Hadoop, Analytics, AWS, Statistics, Data Analytics, Natural Language Processing, Computer Science, Scikit-learn, JSON, MySQL",Not specified,Master,Full-time,108;306 - 170;000 a year
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Senior Data Scientist,Providence,Remote in Renton; WA 98057,"Power BI, Data Visualization, Forecasting, Data Analysis, Computer Science, Machine Learning, R, Snowflake, Azure, Analytics, Big Data, Tableau, Scala, SAS, Statistics, Machine Learning Algorithms, SQL, Python",6,Master,Full-time,Not specified
Data Scientist II,at Cars Commerce,Remote,"Natural Language Processing, Machine Learning, Statistics, Research, Machine Learning Algorithms, AWS, SQL, Deep Learning, Python",2,Doctorate; Master,Not specified,90;500 - 115;000 a year
People Data Scientist,Yale University,Hybrid work in New Haven; CT 06511,"Power BI, Data Visualization, Data Analysis, Computer Science, Hypothesis testing, Machine Learning, R, Analytics, Statistical Analysis, Tableau, Statistics, Research, SQL, Python",2,Doctorate; Master,Full-time,Not specified
Senior Data Scientist,Formotiv,Remote,"Data Visualization, Spark, Computer Science, Machine Learning, Data Structures, Hadoop, Snowflake, Analytics, MLOps, Tableau, Redshift, Financial Services, AWS, Data Analytics, SQL, Python",4,Not Specified,Full-time,Not specified
Senior Data Analyst,Altruist Corp,San Francisco; CA,"SQL, Data Analysis, Snowflake",3,Not Specified,Not specified,124;000 - 158;000 a year
Expert Data Scientist,Genentech,San Francisco; CA  (Mission Bay area),"Forecasting, Data Analysis, Natural Language Processing, Machine Learning, Computer Science, Predictive Analysis, R, Analytics, Tableau, Statistics, SAS, Deep Learning, Research, Data Analytics, Data Visualization, AI, Python",3,Doctorate; Master,Full-time,Not specified
Senior Data Scientist,Kyverna Therapeutics,Emeryville; CA,"Data Analysis, Computer Science, R, Tableau, Research, Data Visualization, AI, Python",5,Not Specified,Full-time,150;000 - 200;000 a year
Health Data Scientist,GAP Solutions; Inc.,Research Triangle Park; NC 27709,"Data Analysis, Natural Language Processing, Computer Science, Machine Learning, Computer Vision, R, Statistics, Research, Data Visualization, Python, Linux",Not specified,Bachelor,Full-time,Not specified
Senior Data Scientist,Democratic Senatorial Campaign Committee,Washington; DC 20002  (Capitol Hill area),"SQL, R, Python, Analytics",Not specified,Not Specified,Not specified,Not specified
DATA SCIENTIST,Ignite Fueling Innovation,Dfafs; FL 32542,"Power BI, Data Visualization, Data Analysis, Computer Science, Machine Learning, R, Analytics, Tableau, Statistics, Machine Learning Algorithms, SQL, Python",4,Bachelor,Full-time,Not specified
Senior Data Scientist,DTN,Remote,"TensorFlow, Machine learning frameworks, Machine Learning, Pandas, Agile, Analytics, PyTorch, Keras, Software development, CI/CD, Github, Research, NumPy, AI, Python",5,Not Specified,Full-time,101;250 - 135;000 a year
Data Scientist; TV Plus,Samsung Electronics,Mountain View; CA,"Power BI, Data Visualization, Data Analysis, Presentation Skills, Machine Learning, R, Analytics, Tableau, Marketing, AWS, Data Analytics, SQL, MySQL, Python",5,Bachelor,Full-time,Not specified
Senior Data Scientist,Podium,Lehi; UT 84043,"Git, Machine Learning, R, Snowflake, Analytics, Sales, Marketing, Data Analytics, SQL, AI, Python",4,Bachelor,Not specified,Not specified
Data Scientist (Data Scientist 1),HII,Remote in Alexandria; VA,"Data Mining, Machine Learning, Project Management, Agile, Big Data, Software development, AI",4,Bachelor,Full-time,Not specified
Data Scientist,Booz Allen,Arlington; VA,"Data Mining, Power BI, Data Analysis, Data Visualization, Leadership, Machine Learning, R, Java, Analytics, Statistical Analysis, Tableau, Statistics, Data Analytics, SQL, Python",5,Master; Bachelor,Full-time,75;600 - 172;000 a year
Sr. Data Analyst,NiSource,Columbus; OH 43215  (Downtown area),"Agile, Azure, Analytics, Data lake, Business Analysis, Jira, Data Engineering",5,Bachelor,Full-time,91;000 - 136;600 a year
Data Scientist,Latham & Watkins LLP,Los Angeles; CA 90013  (Downtown area),"Computer Science, Machine Learning, Analytics, Statistics, Regression Analysis, Machine Learning Algorithms",Not specified,Bachelor,Full-time,110;000 - 135;000 a year
Data Scientist,Acuity INC,Remote in Reston; VA 20190,"Spark, Natural Language Processing, Computer Science, Machine Learning, MLOps, Statistics, Research, Data Engineering",3,Not Specified,Full-time,Not specified
Data Scientist,Congruent,San Francisco; CA,"Data Visualization, Machine learning frameworks, Computer Science, Machine Learning, Pandas, Feature Extraction, Cloud Computing, Analytics, Scikit-learn, Sales, Statistics, AWS, SQL, Python",7,Master,Not specified,150;000 - 200;000 a year
Data Scientist,InfoMagnus,Huntington Beach; CA 92649,"Machine Learning, Pandas, R, PyTorch, Big Data, Tableau, Seaborn, Spark, Azure, Statistical Analysis, Machine Learning Algorithms, SQL, AI, Python, Hadoop, Cloud Computing, MLOps, Statistics, Matplotlib, NumPy, Data Visualization, Google Cloud, TensorFlow, Natural Language Processing, Computer Science, Computer Vision, Scikit-learn, AWS",3,Doctorate; Master,Not specified,Not specified
Data Scientist Healthcare,Intone Networks,Hybrid work in Washington; DC 20001,,Not specified,Not Specified,Not specified,Not specified
DATA SCIENTIST,Dr Martens,Portland; OR 97209  (Pearl District area),"Data Mining, Presentation Skills, Machine Learning, R, Marketing, Quantitative analysis, Azure, Machine Learning Algorithms, SQL, Python, Data Engineering, Forecasting, Analytics, Statistics, Go, Data Analytics, Leadership, Computer Science, Sales, Regression Analysis, AWS",60,Master; Bachelor,Full-time,Not specified
Team Scientist - Center for Translational Data Science,University of Chicago - Center for Translational...,Chicago; IL,"Computer Science, Machine Learning, Cloud Computing, Research, AI",Not specified,Doctorate,Full-time,150;000 - 180;000 a year
Data Scientist,Royce Geo,Springfield; VA,"Git, Data Mining, TensorFlow, Leadership, R, Statistics, SAS, SQL, Python",10,Bachelor,Full-time,Not specified
Data Scientist,JLL,Chicago; IL,"Power BI, Machine Learning, R, PyTorch, CI/CD, Tableau, Research, Jira, Spark, Scripting, Machine Learning Algorithms, SQL, Deep Learning, AI, Python, Analytics, MLOps, Statistics, Data Analytics, Excel, TensorFlow, Natural Language Processing, Computer Science",Not specified,Bachelor,Not specified,110;000 - 130;000 a year
Data Scientist,Koalafi,Richmond; VA,"Git, Machine Learning, Pandas, Snowflake, CI/CD, Spark, SQL, Data Structures, Python, Docker, Forecasting, Analytics, Statistics, Financial Services, NumPy, Computer Science, GraphQL, Scikit-learn, AWS, Kubernetes",2,Doctorate; Master; Bachelor,Not specified,Not specified
Senior Data Scientist,Lytx,San Diego; CA,"Computer Science, Machine Learning, Computer Vision, Scikit-learn, Statistics, Go, Deep Learning, Reinforcement Learning, Python",5,Doctorate,Full-time,148;500 - 187;500 a year
Data Scientist,Amrock; LLC,Detroit; MI 48226  (Downtown area),"Data Mining, Forecasting, Natural Language Processing, Leadership, Machine Learning, R, Java, Analytics, AWS, Statistical Analysis, Azure, Statistics, SAS, Financial Services, Go, SQL, AI, Python",2,Doctorate; Master,Full-time,Not specified
Data Scientist II,Honeywell,Hybrid work in Kansas City; MO 64147,"Software development, Leadership, Machine Learning, Analytics",Not specified,Master,Not specified,Not specified
Senior Data Analyst,City of Chattanooga; TN,Chattanooga; TN 37402  (Martin Luther King area),"Data Analysis, Computer Science, R, Scripting, Statistics, Research, Python",Not specified,Master; Bachelor,Full-time,56;623 - 68;407 a year
Data Scientist,USDM Life Sciences,Thousand Oaks; CA,"Data Analysis, MATLAB, Python, Analytics",21,Doctorate; Master,Full-time,40 - 50 an hour
Data Scientist/Senior Data Scientist,Navy Federal Credit Union,Vienna; VA 22180,"Presentation Skills, Data Analysis, Computer Science, Machine Learning, Hadoop, R, Project Management, Big Data, Scala, SAS, Statistics, SPSS, Research, AWS, SQL, Python",3,Master; Bachelor,Not specified,76;900 - 138;900 a year
Data Scientist - Services Customer Enablement,Lexmark International; Inc.,Lexington; KY,"Data Visualization, Computer Science, Machine Learning, Data Structures, R, Azure, Analytics, NoSQL, Statistics, Research, SQL, Deep Learning, Python",Not specified,Bachelor,Full-time,Not specified
Senior Data Analyst,Ryan Companies US; Inc.,Chicago; IL,"Power BI, Data Visualization, Data Analysis, Microsoft SQL Server, Analytics, Accounting, Data Analytics, SQL, Risk Management",80,Bachelor,Not specified,Not specified
Data Scientist,Amentum,Dahlgren; VA 22448,"Power BI, Data Analysis, Computer Science, R, Analytics, Big Data, Tableau, Statistics, SAS, Research, Data Analytics, SQL, Python",4,Master; Bachelor,Full-time,Not specified
Senior Data Scientist,CEDENT,Deerfield; IL,"Data Mining, Data Analysis, Spark, R, Analytics, Statistics, SQL, Python",4,Not Specified,Full-time,Not specified
Senior Data Analyst,Tegus,Chicago; IL,"Power BI, Presentation Skills, Data Analysis, Sales, Tableau, Statistics, Marketing, SQL",2,Bachelor,Full-time,Not specified
Sr Data Analyst,Point32Health,Canton; MA,"Agile, Analytics, SAS, SQL, Data Structures, Excel",7,Master; Bachelor,Full-time,Not specified
Senior Data Scientist,Delta Dental of Missouri,St. Louis; MO 63127,"Git, Machine Learning, Pandas, PyTorch, Research, Spark, Azure, Deep Learning, AI, Python, Data Engineering, Docker, APIs, Analytics, Statistics, Data Analytics, NumPy, Leadership, TensorFlow, Natural Language Processing, Computer Science, Computer Vision, Scikit-learn, AWS",Not specified,Master,Full-time,117;430 - 158;530 a year
Senior Data Scientist,Labcorp,Durham; NC 27703,"Git, Data Mining, Natural Language Processing, Data Structures, Big Data, Research, Data Warehouse, JSON, SQL, Python, Jira",5,Doctorate,Full-time,Not specified
Data Scientist Level II,Greystones Consulting Group LLC,Hybrid work in Washington; DC 20003,"Data Analysis, Machine Learning, Analytics, Statistical Analysis, Big Data, Data Analytics, Deep Learning",Not specified,Not Specified,Full-time,Not specified
Data Scientist,OST,Fort Belvoir; VA 22060,Research,15,Bachelor,Full-time,Not specified
Senior Data Scientist,The Washington Post,Washington; DC,"Computer Science, Machine Learning, Agile, Statistical Analysis, Statistics, Research, AWS, Leadership, Deep Learning, Python",Not specified,Doctorate; Bachelor,Full-time,Not specified
Data Scientist,Sonatus,Remote,"TensorFlow, Data Analysis, Spark, Computer Science, Machine Learning, Hadoop, PyTorch, Keras, Research, Deep Learning, SQL, AI, Data Engineering",5,Doctorate,Full-time,Not specified
Data Scientist,ActioNet,San Diego; CA 92101,"Data Mining, Computer Science, Machine Learning, R, Java, Statistics, Machine Learning Algorithms, Marketing, Python",Not specified,Bachelor,Full-time,150;000 - 180;000 a year
Sr. Data Scientist,CVS Health,Remote in New York; NY,"Data Mining, Natural Language Processing, Computer Science, Machine Learning, Hadoop, R, Azure, Analytics, Statistical Software, Statistical Analysis, Big Data, Statistics, Tableau, Research, AWS, SQL, Python",Not specified,Master,Full-time,108;306 - 200;000 a year
Senior Associate; Data Scientist,The Bank of New York Mellon Corporation,Pittsburgh; PA,"Python, REST, Java, Financial Services, AI, Banking",240,Bachelor,Not specified,Not specified
Data Scientist,Booz Allen,Arlington; VA,"Data Mining, Power BI, Data Analysis, Data Visualization, Leadership, Machine Learning, R, Java, Analytics, Statistical Analysis, Tableau, Statistics, Data Analytics, SQL, Python",5,Master; Bachelor,Full-time,75;600 - 172;000 a year
Junior Data Scientist,V15P1TALONNN,Chicago; IL,"TensorFlow, Spark, Computer Science, Machine Learning, R, Analytics, Statistical Analysis, Big Data, Statistics, Data Visualization, Deep Learning, Python",70,Doctorate; Master; Bachelor,Not specified,Not specified
Revenue Data Scientist - Industry Solutions,Houzz,Remote,"Power BI, Computer Science, Leadership, Pandas, Sales, Tableau, Statistics, Research, Marketing, SQL, Python",2,Not Specified,Full-time,120;000 - 130;000 a year
Jr ML Data Scientist,Regrow,Remote,"Git, TensorFlow, Data Visualization, Computer Science, Presentation Skills, Machine Learning, PyTorch, Statistical Analysis, Keras, Statistics, Software development, SciPy, Go, NumPy, Deep Learning, Python, Data Engineering",Not specified,Not Specified,Not specified,Not specified
SR Data Scientist,Vass,Remote,"Git, Spark, Azure, AI, Python",1,Not Specified,Not specified,Not specified
Data Scientist,US National Oceanic and Atmospheric Administration,Woods Hole; MA,"Data Analysis, Computer Science, R, Software development, Statistics, Research, Data Visualization",3,Doctorate; Bachelor,Full-time,81;963 - 127;707 a year
Data Scientist; Product,OpenAI,San Francisco; CA  (Mission area),"Research, Github, SQL, AI, Python",5,Not Specified,Full-time,245;000 - 385;000 a year
Data Scientist,CACI,Washington; DC 20005  (Downtown area),"Data Mining, Natural Language Processing, Machine Learning, Analytics",60,Not Specified,Full-time,Not specified
Data Curation Scientist,Princeton University,Princeton; NJ 08544,,Not specified,Doctorate,Not specified,Not specified
Lead Data Scientist,Syneos - Clinical and Corporate - Prod,Remote,"TensorFlow, Machine learning frameworks, Computer Science, Leadership, Machine Learning, Project Management, Azure, PyTorch, Research, SQL, Python",5,Doctorate; Master,Full-time,146;301 - 178;600 a year
Staff Data Scientist,Arkestro,Remote,"Forecasting, Computer Science, Leadership, Machine Learning, Pandas, Snowflake, Statistics, Github, AWS, SQL, AI, Python, Jira",6,Doctorate,Not specified,200;000 - 220;000 a year
Principal Data Scientist,CEDENT,Nashville; TN,"Machine Learning, Pandas, R, Statistical Software, PyTorch, Research, SAS, Marketing, Spark, Agile, Azure, Software development, Python, Project Management, Analytics, Statistics, Data Analytics, NumPy, TensorFlow, Computer Science, Scikit-learn, AWS",10,Doctorate; Master,Full-time,150;000 - 180;000 a year
Junior Data Scientist,Logistics Management Institute,Washington; DC,"Power BI, Data Visualization, Natural Language Processing, Computer Science, R, MATLAB, Java, Analytics, Scikit-learn, Tableau, Statistics, Research, JSON, SQL, Python",60,Bachelor,Full-time,Not specified
Sr. Data Analyst,NiSource,Columbus; OH 43215  (Downtown area),"Agile, Azure, Analytics, Data lake, Business Analysis, Jira, Data Engineering",5,Bachelor,Full-time,91;000 - 136;600 a year
Staff Data Scientist,Crunchbase,California,"Machine Learning, Pandas, Agile, Analytics, Go, SQL, Python",6,Not Specified,Not specified,190;000 - 210;000 a year
Senior Data Analyst,City of Chattanooga; TN,Chattanooga; TN 37402  (Martin Luther King area),"Data Analysis, Computer Science, R, Scripting, Statistics, Research, Python",Not specified,Master; Bachelor,Full-time,56;623 - 68;407 a year
Data Scientist-Staff,Intermountain Healthcare,Salt Lake City; UT,"Data Mining, Machine Learning, R, Big Data, Scala, Data Analysis, Spark, Azure, SQL, AI, Python, Hadoop, MATLAB, Analytics, NoSQL, Statistics, Data Visualization, Natural Language Processing, Computer Science, AWS",Not specified,Master; Bachelor,Full-time,Not specified
Senior Data Analyst,ABS Kids,Utah,"Power BI, Data Visualization, R, Scripting, Tableau, SQL, Python",5,Bachelor,Full-time,100;000 - 120;000 a year
Senior Data Scientist,Pitney Bowes,Austin; TX 78735,"Forecasting, Computer Science, Analytics, Statistical Analysis, Research, SQL, Python",5,Master; Bachelor,Full-time,134;472 - 141;933 a year
Senior Associate; Data Scientist,BNY Mellon,Pittsburgh; PA 15219  (Central Business District area),"Python, REST, Java, Financial Services, AI, Banking",240,Bachelor,Not specified,Not specified
Sr Data Analyst,Hasbro,Renton; WA 98056,"Project Management, Snowflake, Analytics, Tableau, Research, Data Analytics, SQL, Excel",5,Not Specified,Not specified,92;000 a year
Senior Data Analyst,D&G Support Services; LLC,Arlington; VA 22209  (Radnor-Ft Myer Heights area),"Power BI, Computer Science, Risk Management, R, Project Management, Java, Analytics, Big Data, Tableau, Statistics, SAS, AWS, Data Analytics, Leadership, Python",6,Not Specified,Full-time,Not specified
Senior Data Scientist,Adyen,Chicago; IL,"TensorFlow, Spark, Machine Learning, Pandas, Scikit-learn, PyTorch, Big Data, Statistics, Research, Machine Learning Algorithms, SQL, A/B Testing",7,Not Specified,Full-time,Not specified
Lead Data Scientist,Jackson National Life Insurance Company,Lansing; MI,"Data Visualization, Data Analysis, Machine Learning, Analytics, Research, SQL, AI, Data Structures, Data Engineering",8,Bachelor,Full-time,Not specified
Lead Data Scientist,CVS Health,New York; NY,"Docker, Spark, Machine Learning, R, Analytics, Statistical Analysis, Tableau, Statistics, Research, AWS, SQL, Python, Jira",Not specified,Master,Full-time,132;250 - 260;000 a year
Principal Data Scientist,Lawrence Berkeley National Laboratory,Hybrid work in San Francisco Bay Area; CA,"Data Analysis, Research, Machine Learning",10,Doctorate,Full-time,175;812 - 296;688 a year
